,y_true,predicted,lower,upper
1828,1.4821277,1.1768005,-1.4008563,3.7544572
1829,0.3202371,-0.20502955,-3.0374794,2.6274204
1830,-0.21414156,-0.6911273,-3.2825665,1.900312
1831,-1.1459517,-0.92928934,-3.5578215,1.6992428
1832,-1.0261681,-1.1209166,-3.5894904,1.3476572
1833,-0.9948069,-1.2746446,-3.9838734,1.4345841
1834,-1.2608716,-1.2543643,-3.4840367,0.9753082
1835,-1.139508,-1.1409359,-2.6485903,0.36671853
1836,-0.9608596,-0.9730977,-2.177335,0.23113966
1837,-0.8707734,-0.8619689,-1.9957558,0.27181804
1838,-0.7973781,-0.81279266,-2.5313873,0.905802
1839,-0.422055,-0.5557348,-2.7333975,1.6219277
1840,0.99233156,0.74816835,-1.4501969,2.9465337
1841,2.5553236,2.4238691,0.1661098,4.681628
1842,2.2451591,2.1888564,-0.23344731,4.6111603
1843,0.5389937,0.648906,-1.6964836,2.9942956
1844,0.047100127,-0.018380046,-2.7367482,2.699988
1845,0.08200794,-0.08749902,-2.8496022,2.674604
1846,0.44746906,0.03750348,-2.839818,2.914825
1847,0.015203701,-0.05779624,-2.9499595,2.834367
1848,-0.1633786,-0.20769018,-3.295352,2.8799715
1849,-0.06984375,-0.25572023,-3.282848,2.7714076
1850,0.8695772,0.32037187,-2.8354597,3.4762034
1851,2.1093504,1.64748,-1.5329108,4.827871
1852,1.5420938,1.6371188,-1.5109928,4.7852306
1853,0.09628471,0.584571,-2.4989252,3.6680675
1854,-0.40877506,-0.13126832,-3.1090982,2.8465617
1855,-0.8015688,-0.49179786,-3.3308568,2.347261
1856,-1.0873832,-0.7791788,-3.7571197,2.198762
1857,-1.2445198,-1.1033217,-4.1544824,1.9478391
1858,-1.2719971,-1.2505834,-3.1226199,0.62145305
1859,-1.1306281,-1.0952424,-2.1517448,-0.0387398
1860,-0.97993255,-0.95513207,-2.2293317,0.31906754
1861,-0.87619716,-0.87222886,-2.522975,0.7785171
1862,-0.8514208,-0.8458632,-2.8944635,1.2027372
1863,-0.44228232,-0.60409015,-3.1650567,1.9568763
1864,0.819886,0.41881752,-2.4988039,3.336439
